Goterm,ProcessFunctionComponent,Description,Classification,P-value,FDR q-value,Log_FDRqValue,Enrichment,TotalGenes,GenesInPathway,ReliventGenes,NumberOfGenes
GO:0016192,Process,vesicle-mediated transport,Inter-cellular Transport,1.14E-18,7.73E-15,-14.11182051,1.46,872,241,477,192
GO:0043062,Process,extracellular structure organization,Extracellular Matrix,4.71E-16,1.60E-12,-11.79588002,2.57,872,43,331,42
GO:0031424,Process,keratinization,Skin Barrier Formation,1.42E-14,3.22E-11,-10.49214413,10.57,872,20,66,16
GO:0070268,Process,cornification,Skin Barrier Formation,1.78E-14,3.03E-11,-10.51855737,9.77,872,23,66,17
GO:0072376,Process,protein activation cascade,Blood Clotting,4.36E-14,5.93E-11,-10.22694531,3.31,872,32,247,30
GO:1900046,Process,regulation of hemostasis,Blood Clotting,3.39E-12,3.84E-09,-8.415668776,4.4,872,23,181,21
GO:0030193,Process,regulation of blood coagulation,Blood Clotting,3.39E-12,3.29E-09,-8.482804102,4.4,872,23,181,21
GO:0050818,Process,regulation of coagulation,Blood Clotting,3.39E-12,2.88E-09,-8.540607512,4.4,872,23,181,21
GO:0032501,Process,multicellular organismal process,Multicellular Organismal Process,5.01E-12,3.78E-09,-8.4225082,2.44,872,165,119,55
GO:0032101,Process,regulation of response to external stimulus,Response to Stimulus,6.87E-12,4.66E-09,-8.331614083,2.33,872,92,224,55
GO:0030198,Process,extracellular matrix organization,Extracellular Matrix,1.26E-11,7.77E-09,-8.109578981,2.55,872,32,331,31
GO:0032940,Process,secretion by cell,Inter-cellular Transport,3.20E-11,1.81E-08,-7.742321425,1.4,872,194,477,149
GO:0002376,Process,immune system process,Immune Function,4.69E-11,2.45E-08,-7.610833916,1.37,872,279,416,182
GO:1903034,Process,regulation of response to wounding,Wound Healing,5.37E-11,2.61E-08,-7.583359493,2.36,872,30,370,30
GO:0070613,Process,regulation of protein processing,Metabolic Process,1.11E-10,5.01E-08,-7.300162274,3.26,872,31,224,26
GO:1903317,Process,regulation of protein maturation,Metabolic Process,1.11E-10,4.70E-08,-7.327902142,3.26,872,31,224,26
GO:0046903,Process,secretion,Inter-cellular Transport,1.31E-10,5.25E-08,-7.279840697,1.39,872,199,477,151
GO:0002920,Process,regulation of humoral immune response,Immune Function,1.87E-10,7.05E-08,-7.151810883,3.44,872,26,224,23
GO:0061041,Process,regulation of wound healing,Wound Healing,2.09E-10,7.47E-08,-7.126679398,2.38,872,28,366,28
GO:0006887,Process,exocytosis,Inter-cellular Transport,2.43E-10,8.24E-08,-7.084072788,1.4,872,184,477,141
GO:0030449,Process,regulation of complement activation,Complement Cascade,3.85E-10,1.25E-07,-6.903089987,3.55,872,23,224,21
GO:2000257,Process,regulation of protein activation cascade,Blood Clotting,3.85E-10,1.19E-07,-6.924453039,3.55,872,23,224,21
GO:0002252,Process,immune effector process,Immune Function,4.39E-10,1.30E-07,-6.886056648,1.41,872,198,447,143
GO:0045055,Process,regulated exocytosis,Inter-cellular Transport,6.12E-10,1.73E-07,-6.761953897,1.4,872,182,477,139
GO:0060627,Process,regulation of vesicle-mediated transport,Inter-cellular Transport,7.99E-10,2.17E-07,-6.663540266,1.66,872,64,483,59
GO:0006959,Process,humoral immune response,Immune Function,1.53E-09,4.00E-07,-6.397940009,2.81,872,43,224,31
GO:1900047,Process,negative regulation of hemostasis,Blood Clotting,1.54E-09,3.87E-07,-6.412289035,4.31,872,19,181,17
GO:0030195,Process,negative regulation of blood coagulation,Blood Clotting,1.54E-09,3.73E-07,-6.428291168,4.31,872,19,181,17
GO:0050819,Process,negative regulation of coagulation,Blood Clotting,1.54E-09,3.61E-07,-6.442492798,4.31,872,19,181,17
GO:0002673,Process,regulation of acute inflammatory response,Immune Function,3.42E-09,7.74E-07,-6.111259039,3.29,872,26,224,22
GO:0006952,Process,defense response,Immune Function,4.71E-09,1.03E-06,-5.987162775,1.74,872,112,332,74
GO:0050878,Process,regulation of body fluid levels,Homeostasis,5.46E-09,1.16E-06,-5.935542011,3.22,872,52,146,28
GO:0050727,Process,regulation of inflammatory response,Immune Function,1.06E-08,2.18E-06,-5.661543506,2.43,872,61,224,38
GO:0042730,Process,fibrinolysis,Blood Clotting,1.77E-08,3.53E-06,-5.452225295,5.04,872,12,173,12
GO:0006956,Process,complement activation,Complement Cascade,3.37E-08,6.53E-06,-5.185086819,3.19,872,21,247,19
