Accession,WTB-001-A,WTB-001-B,WTB-001-AVE,WTB-002,WTB-003,WTB-004,WTB-005,WTB-006,WTB-007-A,WTB-007-B,WTB-007-C,WTB-007-AVE,WTB-008,WTB-009,WTB-010-A,WTB-010-B,WTB-010-AVE,133C-Control,134N- Control
Q9Y4Y9,0,0,0,0,313.9,246.3,0,0,0,0,0,0,0,0,0,187.8,93.9,0,851.9
E9PMV2,60.6,99.1,79.85,201.4,230.4,69.5,54.3,64,139,139.3,114,130.7666667,59.5,48.6,75.6,72.7,74.15,124.6,47.6
F8W809,52.3,91.2,71.75,142.5,228.3,86,10.6,119.2,40.6,28.4,18.4,29.13333333,0,25.1,36.8,107.2,72,73.4,539.9
P07996,78.5,112.4,95.45,197.7,215.3,111.6,46.4,75,82.6,88.8,84.4,85.26666667,40.6,40.9,57,78.2,67.6,101.1,189.4
P21980,49.7,85.3,67.5,229.6,214.8,194,29.7,40.6,76.8,56.8,57.3,63.63333333,21.7,42.3,51.4,70.3,60.85,78.2,301.5
J3QSU6,50.3,145.1,97.7,262.8,212.3,117,17.8,59.7,122.6,122.5,86.6,110.5666667,29.1,61.1,52.5,64.3,58.4,116.8,79.3
Q9NZZ3,81.7,118.6,100.15,172.6,209.8,103.7,22,44,107.9,63.5,121.5,97.63333333,21.6,40.1,125,80.1,102.55,82.6,205.3
E9PK54,64.8,82.5,73.65,122.9,203.9,100.3,96.9,66.6,119.7,74,72.8,88.83333333,38.5,59.1,94.4,88.4,91.4,88.1,227.1
F8WF14,47.7,72.1,59.9,112.1,202.2,167.5,34.8,92.3,116.8,49,79.2,81.66666667,0,81.2,150.1,150.3,150.2,161.7,83
P02675,92.4,192.5,142.45,123.7,198.5,61,171.7,203.6,45.5,37.7,46.4,43.2,29.8,52.1,80.8,85.4,83.1,117.3,61.8
Q15063,35,50.5,42.75,518.3,196.4,56.3,46.3,43,77.7,59.4,86,74.36666667,30.1,31.1,45.7,47.7,46.7,102.4,174.1
P02679,142.5,166.5,154.5,114.9,196.2,61.1,185.7,192,41.4,33,46,40.13333333,31.7,51.6,65.5,89.5,77.5,121.7,60.6
Q9HT18,64.7,72.6,68.65,66.7,194.3,79.1,84.7,99.9,178.3,132.1,146.2,152.2,80.6,38.8,94.3,96.4,95.35,123.1,48.2
A0A2R8YD90,80.3,94.1,87.2,272.6,185.6,85.4,36.2,42.9,88.5,82.6,116.9,96,45.7,75.5,51.3,97.1,74.2,116.2,129.1
G3V180,0,73.8,36.9,187.7,182.6,196.7,0,0,183.9,147.7,107.6,146.4,0,79.6,106,91.7,98.85,0,242.7
Q9BTE6,88.5,127.6,108.05,173.9,182,164.4,53.2,63.3,77.5,75.4,66.9,73.26666667,36.2,47.7,97,121.4,109.2,99.2,125.8
P02671,302.7,148.3,225.5,136,180.7,37,200.7,101.2,24.1,30.5,27.4,27.33333333,36.2,26.5,48.9,124.3,86.6,123.1,52.5
J3KSB0,60.6,106.9,83.75,188.7,179.1,152.4,23.3,30.7,175.7,172.7,76.6,141.6666667,0,94.3,72.7,56.4,64.55,88.8,121.1
P00374,67.9,63.3,65.6,103.9,178.9,75.9,36.5,34,113.6,121.7,109.6,114.9666667,26.9,48.2,84.7,77.4,81.05,92.3,365.1
Q15582,66.1,131.6,98.85,245.1,178.2,102.4,51.1,82.7,98,88.5,75.3,87.26666667,30.7,63.4,74.5,86.5,80.5,121.7,104.2
P02655,85.5,81.4,83.45,114.1,176.3,213,60.8,35.4,71.6,94.3,82.9,82.93333333,41.6,36.6,98.2,189,143.6,116.5,102.6
Q92542,123.4,125.7,124.55,159.6,175.4,133.3,67.5,69.6,147.1,71.3,66.6,95,35.2,100.5,71.7,110.3,91,70.6,72.2
P49756,124.7,132.8,128.75,158.2,172.1,107.3,43.5,22.4,88.4,60.2,46,64.86666667,41.8,20.3,89.2,75.5,82.35,118.4,299.4
P30044,120.9,74.8,97.85,98.6,172,104.3,75.7,52.5,108.8,71.6,68.9,83.1,16.8,61.4,118.1,92.1,105.1,86,277.5
P08670,105.4,69.7,87.55,291.3,169.6,78.1,52,69.4,64.9,55.3,62.1,60.76666667,54.8,45.2,63.8,71.7,67.75,106.4,240.2
P02745,211,123.3,167.15,127.8,168,93.4,68.1,35.7,76.3,57.6,84.9,72.93333333,33.9,92.5,149.8,75,112.4,100,102.9
Q96TA1,118.7,133.8,126.25,228.8,166.9,126.8,41.8,106.5,52,33.9,30.6,38.83333333,37.6,60.8,71,141.5,106.25,104.2,145.2
P60903,107.5,82,94.75,170,166.7,151.8,88.1,155.2,71.9,51.1,44.2,55.73333333,62.7,61,75.8,134.2,105,126.4,51.1
Q92888,60.7,118.6,89.65,219.4,164.1,82.5,29.8,0,149.8,117.4,120,129.0666667,54.9,137.3,78.5,103.1,90.8,80,83.9
