Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
Q15063,Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2,Periostin,Homo sapiens,cell adhesion;cell organization and biogenesis;stress response;developmental processes;other biological processes,non-structural extracellular;extracellular matrix;ER/Golgi;other cell component,other molecular function,Hypothesized pathways in pathogenesis of cardiovascular disease; Amplification and expansion of oncogenic pathways as metastatic traits,,
Q99715,Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2,Collagen alpha-1(XII) chain,Homo sapiens,cell adhesion;cell organization and biogenesis;developmental processes,extracellular matrix;ER/Golgi,extracellular structural activity,,Collagen degradation; Assembly of collagen fibrils and other multimeric structures; Collagen chain trimerization,Protein digestion and absorption
Q6P2H3,Centrosomal protein of 85 kDa OS=Homo sapiens OX=9606 GN=CEP85 PE=1 SV=1,Centrosomal protein of 85 kDa,Homo sapiens,other biological processes,cytosol;cytoskeleton;ER/Golgi;nucleus,,,,
S4R3N1,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1-MOB4 PE=1 SV=1","10 kDa heat shock protein, mitochondrial",Homo sapiens,other biological processes,,other molecular function,,,
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,Vimentin,Homo sapiens,cell organization and biogenesis;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component,cytoskeletal activity;nucleic acid binding activity;other molecular function,Allograft Rejection; Spinal cord injury; Primary focal segmental glomerulosclerosis (FSGS); Mammary gland development pathway - Puberty (Stage 2 of 4); Apoptosis-related network due to altered Notch3 in ovarian cancer; Striated muscle contraction pathway; TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition; Ciliary landscape; Burn wound healing; CCL18 signaling pathway; T-cell receptor (TCR) signaling pathway,Aggrephagy; Interleukin-4 and Interleukin-13 signaling; Chaperone Mediated Autophagy; Late endosomal microautophagy; Striated Muscle Contraction; RHOBTB1 GTPase cycle; Caspase-mediated cleavage of cytoskeletal proteins,Epstein-Barr virus infection; MicroRNAs in cancer
O00151,PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,PDZ and LIM domain protein 1,Homo sapiens,cell organization and biogenesis;stress response;developmental processes;other biological processes,cytoskeleton;other cell component,cytoskeletal activity;other molecular function,,,
A0A2R8YD90,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (Fragment) OS=Homo sapiens OX=9606 GN=SAMHD1 PE=1 SV=1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (Fragment),Homo sapiens,DNA metabolism;other metabolic processes;stress response,other cell component,other molecular function,,,
P02792,Ferritin light chain OS=Homo sapiens OX=9606 GN=FTL PE=1 SV=2,Ferritin light chain,Homo sapiens,transport;other biological processes,non-structural extracellular;cytosol;other cytoplasmic organelle;other cell component,other molecular function,Nuclear receptors meta-pathway; NRF2 pathway; Ferroptosis; Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway,Neutrophil degranulation; Scavenging by Class A Receptors; Golgi Associated Vesicle Biogenesis; Iron uptake and transport,Ferroptosis; Necroptosis; Mineral absorption
J3QSU6,Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=1,Tenascin,Homo sapiens,cell adhesion;other biological processes,,,Focal adhesion; TGF-beta signaling pathway; Amplification and expansion of oncogenic pathways as metastatic traits; TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Orexin receptor pathway,,
P35555,Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4,Fibrillin-1,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;signal transduction;other biological processes,non-structural extracellular;extracellular matrix;ER/Golgi,signal transduction activity or receptor binding;extracellular structural activity;other molecular function,Hypothesized pathways in pathogenesis of cardiovascular disease; TGF-beta receptor signaling in skeletal dysplasias; 7q11.23 copy number variation syndrome; Progeria-associated lipodystrophy,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Integrin cell surface interactions; Degradation of the extracellular matrix; Molecules associated with elastic fibres,TGF-beta signaling pathway
